state_name,year,forecast,model
Uttarakhand,2016,225340.170689317,Holt's method
Uttarakhand,2017,265777.329875931,Holt's method
Uttarakhand,2018,313470.913152762,Holt's method
Uttarakhand,2019,369723.081493436,Holt's method
Uttarakhand,2020,436069.667881392,Holt's method
Uttarakhand,2021,514322.109612634,Holt's method
Uttarakhand,2022,606616.905325182,Holt's method
Uttarakhand,2023,715473.947062963,Holt's method
Uttarakhand,2024,843865.319993755,Holt's method
West Bengal,2015,910192.617747448,Holt's method
West Bengal,2016,1034423.10466036,Holt's method
West Bengal,2017,1175609.57822674,Holt's method
West Bengal,2018,1336066.32933073,Holt's method
West Bengal,2019,1518423.52208787,Holt's method
West Bengal,2020,1725670.30679134,Holt's method
West Bengal,2021,1961203.81726343,Holt's method
West Bengal,2022,2228884.85576389,Holt's method
West Bengal,2023,2533101.17822718,Holt's method
West Bengal,2024,2878839.41718326,Holt's method
Puducherry,2015,28185.8462469245,Holt's method
Puducherry,2016,32826.5665733552,Holt's method
Puducherry,2017,38231.3684519052,Holt's method
Puducherry,2018,44526.0557615466,Holt's method
Puducherry,2019,51857.1456361655,Holt's method
Puducherry,2020,60395.2788437391,Holt's method
Puducherry,2021,70339.1916748528,Holt's method
Puducherry,2022,81920.3417914937,Holt's method
Puducherry,2023,95408.2957088403,Holt's method
Puducherry,2024,111117.003310779,Holt's method
